id_encuestado;Fecha;Edad;Genero;Pais de residencia;Nivel educativo alcanzado;Estado Nivel Ed;Ocupacion;Anio en que te hiciste fan;Album favorito;Cancion favorita ;Genero musical preferido;Primer album escuchado;Compra entradas;Cantidad de asistencia a conciertos;Compra merch oficial;Regrabación favorita;Momento de mayor impacto en mi vida;Nivel de identificación con sus canciones;Album más emotivo;Canción más emotiva;Conozco los Easter Eggs;Sigo a Taylor en redes;Soy fan de Taylor;Formo parte de grupos o foros;Participacion en debates de teorias;Interes mayor;Compra vinilo;Nivel Fanatismo
48;11/8/2024;38;4;1;4;1;5;2022;13;33;4;6;1;0;3;13;2;8;6;13;3;1;3;2;2;2;2;4
49;23/3/2024;21;1;5;6;3;4;2017;9;12;3;6;4;1;3;14;1;8;11;63;1;1;1;2;2;1;2;9
50;26/3/2024;31;1;1;2;1;3;2016;6;33;1;6;4;1;1;14;1;10;6;53;1;1;1;1;1;2;1;10
51;8/5/2024;38;1;1;4;1;2;2017;6;5;6;6;4;1;2;11;2;9;15;18;1;1;1;2;1;1;1;8
52;29/8/2024;21;1;5;3;1;3;2013;8;45;1;4;4;1;1;13;5;9;15;37;1;1;1;1;1;2;1;5
53;12/1/2024;18;1;5;4;3;3;2014;15;53;4;10;4;1;1;14;3;10;15;45;1;1;1;1;2;1;1;8
54;26/7/2024;21;2;5;3;1;4;2022;11;13;4;11;4;1;1;11;5;10;8;63;3;1;2;1;3;2;3;7
55;25/8/2024;29;1;1;4;1;3;2015;8;23;3;2;4;2;4;11;2;8;6;63;1;1;1;1;1;1;1;8
56;21/9/2024;25;1;5;4;1;3;2019;14;3;4;4;4;1;1;14;2;10;15;2;1;1;1;2;1;1;2;9
57;16/6/2024;30;1;7;4;1;3;2017;6;22;4;2;4;1;4;14;2;10;15;3;1;1;1;1;2;2;1;10
58;1/10/2024;23;1;5;4;3;4;2023;8;26;3;5;4;1;4;11;2;8;15;26;1;1;1;2;1;1;1;8
59;10/10/2024;14;2;5;2;3;4;2033;12;21;4;6;4;1;1;14;1;5;8;4;1;1;1;1;2;1;2;7
60;14/10/2024;17;1;5;3;3;4;2023;8;6;4;5;4;1;1;11;1;6;15;3;1;1;1;1;2;2;2;5
61;20/4/2024;26;1;5;5;1;3;2010;7;57;3;2;4;1;3;11;5;7;15;68;1;1;1;2;2;2;2;8
62;29/4/2024;19;2;5;4;3;4;2018;15;24;3;5;4;1;1;14;5;9;15;45;1;1;1;1;1;1;1;9
63;6/9/2024;21;1;1;4;3;2;2019;6;34;4;4;4;1;4;14;1;10;8;50;1;1;1;2;3;1;1;10
64;12/1/2024;21;1;5;4;1;4;2012;5;41;4;11;4;2;1;11;1;10;11;4;1;1;1;2;2;1;3;7
65;10/8/2024;32;1;5;7;1;3;2016;6;23;4;2;4;1;1;11;2;10;12;3;1;1;1;1;2;2;2;10
66;23/1/2024;24;2;5;4;3;4;2012;8;6;3;3;4;7;1;11;1;9;11;2;1;1;3;1;3;2;1;10
67;13/7/2024;23;1;5;4;3;4;2017;7;11;4;6;4;2;1;14;5;7;1;68;1;1;1;1;1;2;1;9
68;14/2/2024;19;1;5;4;3;3;2012;6;22;3;2;4;1;1;14;3;10;8;37;1;1;1;1;1;1;1;8
69;20/3/2024;20;1;5;4;3;4;2019;8;43;3;2;4;1;1;11;1;4;15;2;1;1;1;1;1;1;3;6
70;14/7/2024;28;1;5;4;1;3;2008;13;17;4;2;4;1;3;14;1;8;15;61;1;1;1;1;3;2;2;9
71;17/3/2024;28;1;5;5;1;3;2011;8;2;3;1;4;1;3;10;5;7;15;2;3;2;3;2;2;1;2;7
72;28/2/2024;29;1;1;4;3;3;2010;8;36;3;1;4;2;1;14;1;10;6;2;1;1;1;2;1;1;3;10
73;7/4/2024;26;1;5;6;1;3;2019;8;69;4;5;4;2;3;11;5;8;12;32;1;1;1;1;1;1;2;9
74;17/2/2024;30;1;1;3;1;5;2012;11;48;4;4;4;1;1;11;2;8;11;3;1;1;3;2;3;2;3;8
75;6/9/2024;31;2;5;7;1;3;2014;5;10;4;2;4;1;1;10;2;9;15;3;1;1;1;1;1;2;1;8
76;16/8/2024;39;1;5;4;1;3;2008;10;26;3;2;4;2;3;11;2;10;11;2;1;1;1;1;2;2;1;8
77;21/1/2024;29;1;1;2;1;3;2019;6;28;4;7;4;1;1;13;5;8;15;68;1;1;1;2;1;2;3;8
78;13/8/2024;19;1;5;4;3;4;2021;9;62;4;5;4;1;1;11;1;9;8;35;1;1;1;1;1;1;1;9
79;28/8/2024;22;1;5;4;3;6;2006;15;58;3;1;4;1;1;11;1;8;8;37;1;1;1;1;1;2;3;9
80;20/7/2024;31;1;1;2;1;1;2008;6;17;4;2;4;2;1;11;3;9;15;68;1;1;1;1;1;2;1;10
81;14/1/2024;24;2;1;3;1;3;2020;14;2;3;4;6;4;4;14;5;8;6;47;3;1;1;3;2;1;2;2
82;4/5/2024;31;2;3;6;3;2;2013;3;13;1;2;1;4;2;11;3;4;8;4;3;1;1;2;1;3;3;5
83;9/5/2024;36;3;6;1;3;1;2020;14;2;1;3;6;3;1;13;1;10;9;47;3;1;1;1;3;3;3;10
84;11/1/2024;28;3;1;1;2;1;2023;7;2;1;2;1;2;2;13;1;10;16;2;1;2;2;1;2;3;2;5
85;29/7/2024;29;3;1;2;2;5;2021;3;13;1;2;1;0;1;13;3;7;8;4;2;2;2;1;3;2;2;7
86;26/6/2024;58;1;5;4;2;1;2020;11;13;2;1;6;4;2;13;1;5;4;2;2;2;1;3;2;1;2;6
87;15/8/2024;62;1;5;2;2;1;2023;11;2;2;2;4;4;1;13;1;10;6;55;3;2;1;3;3;3;1;1
88;23/1/2024;33;1;4;2;2;5;2022;3;31;1;5;3;3;1;10;5;8;8;47;1;1;2;3;2;2;2;2
89;9/2/2024;29;2;5;4;3;5;2017;14;2;3;2;1;4;2;10;3;6;2;2;1;1;1;1;2;2;1;10
90;13/2/2024;51;3;8;4;3;4;2012;11;50;4;5;3;1;4;11;1;7;4;2;2;1;1;2;1;2;3;6
91;28/5/2024;61;1;6;1;1;2;2006;2;31;3;8;6;2;4;13;5;7;6;55;2;1;2;2;2;1;2;9
92;6/1/2024;62;2;5;6;1;5;2023;11;66;1;7;1;1;1;11;3;10;8;55;1;1;2;1;3;1;1;5
93;9/3/2024;53;3;5;1;1;3;2017;7;13;5;4;6;1;1;10;1;7;2;47;2;2;2;2;3;1;3;4
94;27/8/2024;38;1;1;2;3;4;2021;11;66;2;1;6;5;1;13;3;9;9;2;3;1;1;3;2;2;3;2
95;28/1/2024;35;1;9;1;2;2;2017;11;50;5;2;1;2;1;13;5;10;6;55;3;2;1;1;3;1;3;4
96;17/2/2024;64;1;9;2;1;4;2012;8;31;2;7;6;1;1;14;1;5;8;2;1;2;2;1;2;2;3;9
97;4/7/2024;63;1;6;3;3;2;2020;2;2;2;5;4;0;1;11;5;8;6;4;3;2;1;3;3;1;2;7
98;7/7/2024;61;3;3;2;2;3;2023;7;31;2;5;3;3;4;11;5;8;9;2;3;1;2;1;3;1;3;2
99;8/8/2024;42;2;4;1;3;2;2007;8;2;5;8;6;3;4;10;5;3;2;55;2;2;2;1;1;3;3;10
100;4/7/2024;53;2;6;2;3;2;2007;7;13;4;3;6;1;2;14;3;5;2;4;3;2;1;1;3;3;1;9
101;1/2/2024;45;3;5;1;1;2;2019;7;2;4;8;3;0;2;11;5;7;9;4;3;1;2;1;1;2;3;2
102;28/5/2024;37;1;8;4;2;1;2023;3;66;5;7;6;4;4;11;1;5;9;2;3;2;1;2;3;2;1;9
103;27/3/2024;28;1;8;2;3;1;2014;7;13;5;3;4;2;1;11;3;2;4;47;3;2;1;3;3;1;1;10
104;15/5/2024;51;2;6;4;3;4;2020;11;66;3;2;4;5;2;10;5;8;9;4;3;1;1;2;1;3;2;10
105;7/6/2024;46;2;3;6;2;3;2023;7;31;2;1;1;3;4;13;5;7;4;4;1;1;2;3;2;2;2;6
106;27/9/2024;43;2;3;6;3;5;2021;2;50;4;7;1;2;2;13;1;3;6;4;1;1;1;1;1;2;3;4
107;3/4/2024;29;1;4;1;1;5;2019;7;13;2;2;6;0;1;11;3;3;6;2;2;1;2;3;1;2;1;8
108;30/3/2024;31;3;8;6;3;5;2011;11;50;2;1;6;1;4;13;1;1;2;2;1;1;2;1;2;1;3;1
109;26/5/2024;24;2;8;6;1;1;2016;3;13;2;3;4;4;2;10;1;2;8;47;2;2;2;1;3;2;2;1
110;23/10/2024;59;2;5;6;2;1;2020;2;13;3;7;6;1;4;10;5;4;2;47;1;2;2;3;2;3;3;2
111;13/7/2024;42;2;1;2;1;3;2013;14;13;5;3;1;5;2;10;5;1;8;55;1;1;1;2;2;1;2;5
112;10/6/2024;45;2;6;4;1;4;2007;3;66;4;7;1;1;4;13;5;8;8;55;1;1;1;3;1;3;3;5
113;20/8/2024;18;2;1;3;3;5;2021;11;50;1;3;6;4;2;10;5;2;8;2;2;1;1;1;2;1;1;5
114;14/7/2024;48;1;5;6;3;2;2022;8;66;4;4;4;5;2;11;1;8;8;47;2;1;1;1;2;1;1;8
115;28/4/2024;39;3;6;4;1;1;2023;14;50;3;1;1;2;1;10;3;5;6;47;3;2;1;3;1;3;2;3
116;19/3/2024;42;2;1;1;3;2;2009;8;2;5;2;6;0;1;13;5;1;2;4;1;1;2;2;3;2;1;10
117;7/1/2024;41;1;4;1;2;2;2019;7;13;4;3;6;5;4;11;5;9;6;2;2;1;1;2;2;3;2;1
118;9/7/2024;39;2;4;6;3;3;2019;14;66;3;1;6;3;1;13;3;4;4;55;3;2;1;2;1;1;1;10
119;12/3/2024;50;1;6;2;3;5;2010;3;13;1;5;6;4;4;13;1;4;2;47;2;2;2;3;2;1;1;4
120;14/9/2024;58;2;1;1;1;5;2023;2;66;5;3;6;1;1;13;1;1;8;4;2;1;2;2;1;2;2;5
121;24/4/2024;47;3;5;6;1;3;2023;8;13;2;7;1;5;2;14;1;10;6;4;3;1;2;3;3;1;3;5
122;30/7/2024;25;3;6;4;3;1;2015;11;13;2;4;3;0;2;13;3;8;9;2;3;2;2;1;2;3;3;10
123;21/7/2024;29;2;8;4;3;5;2010;11;13;1;4;1;2;2;13;3;10;6;47;3;2;1;2;2;2;2;9
124;21/3/2024;59;1;9;3;2;4;2013;7;2;3;2;4;2;2;13;3;3;6;55;1;2;2;3;3;1;3;2
125;15/2/2024;54;1;9;4;3;2;2006;7;66;2;7;3;5;4;13;5;4;8;47;2;1;1;1;3;1;2;6
126;11/4/2024;61;2;3;2;3;4;2007;2;66;2;8;1;3;2;11;5;4;9;47;3;2;1;3;3;1;1;3
127;3/2/2024;33;1;5;2;2;4;2012;8;31;5;7;3;4;1;10;5;1;6;55;2;1;2;2;2;1;1;9
128;2/7/2024;45;2;6;1;3;4;2020;3;50;3;2;3;1;4;10;3;8;2;55;2;1;2;3;2;2;1;7
129;27/5/2024;31;2;4;3;2;4;2007;14;13;5;2;6;2;1;10;3;2;2;55;3;1;2;2;3;2;2;4
130;17/3/2024;53;2;4;1;3;5;2010;2;50;3;2;6;1;1;10;5;5;2;55;3;2;2;3;2;3;1;9
131;22/4/2024;24;2;5;3;1;1;2023;2;13;5;3;3;5;4;13;5;7;2;55;3;2;1;2;2;3;2;8
132;19/9/2024;48;1;9;4;2;4;2023;7;50;5;3;3;3;1;11;3;6;4;47;3;2;2;3;2;2;2;10
133;14/5/2024;62;2;4;2;2;3;2008;14;66;5;4;4;0;2;10;1;7;6;55;1;1;1;2;2;1;3;5
134;3/3/2024;25;3;4;2;3;3;2021;3;66;2;1;6;0;1;14;1;10;6;55;3;2;1;1;1;1;1;2
135;3/4/2024;46;3;3;4;1;2;2019;3;13;1;1;4;3;1;10;3;5;6;47;3;2;2;3;2;2;3;3
136;20/3/2024;57;2;5;2;2;3;2022;8;31;5;1;4;4;2;10;5;10;9;2;3;1;1;1;1;1;1;7
137;13/7/2024;42;3;9;6;3;4;2016;8;31;5;1;3;2;4;14;1;6;8;47;2;2;2;1;1;2;2;6
138;30/4/2024;36;1;6;6;2;3;2011;14;13;2;7;1;5;2;10;3;8;4;47;2;2;1;1;3;3;1;5
139;28/4/2024;18;2;5;2;1;5;2007;11;50;3;3;1;2;1;11;1;10;4;4;3;1;1;3;3;1;2;3
140;20/7/2024;37;2;5;1;2;3;2020;3;31;2;2;1;3;2;11;5;10;2;2;3;2;2;3;2;1;3;8
141;3/5/2024;59;3;5;3;2;5;2023;11;66;3;7;6;2;2;10;5;10;2;2;1;1;1;1;3;1;3;1
142;9/3/2024;51;1;3;2;1;2;2018;2;66;5;3;4;5;4;14;3;4;4;55;1;1;2;1;1;1;1;5
143;7/2/2024;64;1;8;3;2;2;2015;2;31;2;7;6;5;2;11;1;10;4;4;3;2;1;2;3;2;2;6
144;14/10/2024;40;1;1;1;2;2;2019;11;50;5;8;1;1;4;11;3;10;8;2;1;2;2;1;3;2;2;7
145;17/6/2024;26;2;9;4;3;2;2009;2;13;4;4;3;0;4;10;3;9;4;55;2;1;1;2;2;2;2;1
146;23/7/2024;37;1;8;6;1;4;2022;11;66;4;3;6;5;1;11;5;9;8;4;1;2;2;2;2;1;3;5
147;10/8/2024;40;3;4;3;2;4;2009;7;2;3;7;3;3;4;13;3;5;8;55;3;1;2;2;3;1;3;9
148;24/8/2024;22;3;5;6;2;1;2017;3;2;3;3;6;2;2;10;5;3;2;2;2;2;1;2;2;1;1;10
149;25/5/2024;53;1;9;3;1;2;2020;3;50;3;5;6;5;4;11;5;4;9;4;2;2;1;3;1;2;2;9
150;26/3/2024;33;3;8;3;1;5;2023;3;31;1;4;3;0;4;11;1;9;6;55;3;2;2;1;3;1;1;5
151;7/9/2024;34;1;1;3;3;3;2021;11;31;3;7;3;1;2;10;5;1;9;55;3;2;1;1;2;3;1;4
152;21/9/2024;52;1;5;6;1;3;2013;3;31;4;1;3;0;1;13;3;9;8;4;3;1;1;3;2;3;2;7
153;28/6/2024;40;3;5;6;1;4;2014;11;13;5;8;4;3;1;13;3;8;8;2;3;2;2;2;2;1;3;4
154;1/3/2024;22;1;5;4;3;2;2010;11;2;5;3;1;4;4;14;5;5;8;2;1;2;2;2;3;3;3;1
155;31/1/2024;34;2;8;4;3;4;2011;7;50;2;8;4;0;4;14;5;7;6;47;2;2;1;1;3;3;1;1
156;16/7/2024;23;3;3;2;3;1;2007;3;13;5;8;1;1;4;14;1;3;8;2;3;2;1;2;3;1;2;2
157;20/1/2024;51;1;8;3;2;3;2019;3;50;4;2;1;3;2;11;3;4;8;4;2;1;1;3;1;2;3;2
158;27/3/2024;22;1;5;1;2;2;2016;2;2;1;8;6;1;4;13;5;5;2;47;2;1;2;2;2;1;3;6
159;14/3/2024;27;1;1;1;3;4;2009;3;66;5;4;1;1;1;14;1;2;8;4;3;2;2;2;2;1;1;2
160;4/4/2024;35;3;8;6;1;5;2017;3;31;5;3;4;2;2;10;3;4;2;55;2;2;2;3;3;3;3;3
161;11/7/2024;21;3;4;2;2;2;2018;14;66;1;7;1;0;4;11;3;1;2;55;3;1;1;3;2;2;3;4
162;30/4/2024;59;2;3;3;3;2;2012;2;13;1;8;1;4;1;10;3;4;4;4;2;1;2;3;1;2;1;4
163;22/2/2024;48;1;3;6;2;2;2015;3;2;1;1;1;5;2;14;1;1;4;2;3;1;2;2;3;2;3;10
164;17/6/2024;33;2;9;3;1;4;2006;8;2;4;8;1;0;1;13;1;3;2;2;2;1;1;1;3;3;2;7
165;26/8/2024;34;1;1;6;3;3;2021;8;66;1;3;6;1;1;14;1;8;2;47;2;1;1;2;1;3;2;5
166;14/1/2024;35;1;4;4;1;3;2008;3;13;1;4;1;4;2;11;5;4;6;47;2;2;1;1;1;2;1;3
167;16/3/2024;33;1;5;3;2;4;2014;3;2;3;8;6;5;1;11;5;8;4;47;3;2;2;3;2;2;3;9
168;9/2/2024;57;2;4;1;2;1;2011;11;31;5;3;6;0;4;11;5;3;4;4;2;2;2;1;3;2;2;7
169;3/4/2024;29;1;3;3;1;1;2008;3;2;4;3;3;2;4;13;3;8;4;2;2;1;2;2;2;1;3;10
170;1/6/2024;42;3;8;1;1;1;2015;8;31;3;1;3;2;1;13;1;4;9;47;2;2;1;1;1;2;2;10
171;2/3/2024;21;2;4;4;3;4;2009;14;2;2;5;3;0;4;14;3;6;6;47;3;1;1;2;2;3;1;9
172;19/4/2024;24;3;9;3;1;5;2007;7;2;4;5;1;0;1;10;5;2;9;2;3;1;1;1;1;1;2;6
173;21/8/2024;43;2;8;6;2;5;2023;2;66;5;7;3;1;4;14;1;10;8;4;3;1;2;2;1;1;2;5
174;7/4/2024;60;3;9;4;3;3;2008;3;13;4;4;6;4;4;11;1;9;4;47;1;1;1;1;3;2;3;8
175;27/9/2024;28;1;9;6;3;5;2017;2;31;3;3;6;2;4;11;1;1;9;2;2;2;2;1;2;1;1;5
176;12/2/2024;53;1;1;1;2;4;2007;3;50;1;1;6;2;1;13;5;1;8;4;3;1;2;3;3;2;3;6
177;15/9/2024;18;2;5;3;2;2;2017;8;13;1;8;3;3;4;10;1;5;9;55;1;2;1;2;1;3;3;9
178;21/9/2024;61;3;6;4;1;4;2021;8;31;2;3;4;4;2;11;5;2;8;2;3;2;1;1;2;2;3;4
179;7/6/2024;23;3;1;2;1;1;2018;3;50;3;3;4;4;1;13;3;5;4;47;3;1;1;3;1;3;2;2
180;20/6/2024;43;3;5;3;1;3;2022;2;2;2;5;3;5;4;10;1;2;6;47;3;1;1;1;2;1;1;7
181;22/5/2024;32;2;5;2;3;2;2017;7;31;3;5;6;5;4;14;1;10;8;4;2;2;2;2;3;1;1;6
182;29/2/2024;38;2;5;4;2;5;2010;7;66;2;4;4;0;4;14;3;4;2;4;1;2;2;3;1;1;1;4
183;10/1/2024;25;3;5;4;1;4;2015;14;50;5;1;4;4;2;14;3;8;6;2;1;1;1;2;1;1;2;9
184;17/3/2024;45;3;1;2;3;3;2011;11;50;1;8;4;3;1;14;3;2;6;47;1;2;1;3;1;1;1;2
185;9/4/2024;29;1;8;2;1;2;2017;14;13;5;7;1;5;2;11;5;3;2;4;3;1;1;1;3;3;3;10
186;9/2/2024;34;1;5;6;2;5;2007;11;13;3;7;1;1;1;11;3;2;2;55;3;1;2;3;1;1;2;9
187;28/6/2024;18;1;3;4;1;3;2016;2;66;4;2;4;3;4;13;1;9;9;2;2;2;1;3;2;3;2;3
188;23/10/2024;37;2;5;6;2;3;2015;14;2;3;3;4;4;2;14;3;4;8;2;2;1;2;3;2;3;3;5
189;12/9/2024;19;3;6;4;1;1;2021;2;2;5;1;6;4;1;11;5;10;4;47;2;1;1;3;3;2;1;3
190;21/10/2024;61;1;8;4;3;3;2011;2;13;2;7;3;4;2;10;1;7;4;47;2;1;2;1;2;3;1;8
191;1/6/2024;48;1;6;3;3;1;2012;7;31;5;2;6;2;1;13;5;2;6;47;1;1;1;1;1;3;3;3
192;1/6/2024;19;2;1;1;1;1;2006;7;13;1;5;3;4;2;13;1;9;4;2;2;2;2;3;2;2;3;8
193;24/4/2024;54;3;5;4;1;2;2006;3;2;3;5;6;1;2;11;3;10;8;4;1;1;1;3;3;1;1;9
194;5/6/2024;34;2;1;4;2;3;2019;2;13;3;1;4;5;4;10;1;1;4;4;2;2;1;3;1;2;2;9
195;15/4/2024;64;2;1;2;3;4;2009;7;13;3;8;1;3;4;11;5;7;8;55;3;2;2;1;2;1;3;4
196;31/8/2024;40;2;6;6;2;5;2019;8;13;3;8;1;4;2;14;3;7;2;47;2;1;2;3;3;1;2;7
197;23/2/2024;56;2;6;3;2;5;2021;11;13;5;3;6;0;1;14;1;9;6;2;2;2;2;2;3;2;3;1
198;22/4/2024;40;1;9;4;3;3;2008;2;31;5;8;1;0;4;10;1;9;4;4;2;1;2;1;2;1;3;6
199;14/10/2024;44;1;6;4;3;3;2017;14;66;2;5;4;5;2;13;3;4;4;2;2;2;2;2;3;3;1;2
200;14/5/2024;29;1;3;2;1;1;2021;8;31;3;2;1;4;2;10;3;2;6;55;3;1;2;3;2;1;3;7
201;2/1/2024;37;1;8;2;2;2;2015;14;66;5;1;4;4;4;13;1;1;4;4;3;2;2;3;1;1;2;10
202;18/2/2024;19;2;5;6;1;4;2006;2;66;4;7;6;4;4;10;5;2;6;2;1;2;1;3;2;2;2;9
203;8/1/2024;30;2;3;6;2;1;2013;14;2;3;7;6;1;4;14;3;4;8;47;2;2;1;3;2;1;3;10
204;27/3/2024;28;3;9;2;1;2;2017;2;66;4;2;1;1;1;13;1;7;4;47;3;2;2;3;1;2;3;8
205;4/8/2024;64;3;3;4;2;1;2006;2;2;3;4;1;5;2;10;3;9;8;2;3;1;2;1;1;3;2;1
206;3/1/2024;44;1;3;4;2;5;2021;14;13;2;5;1;2;4;11;5;1;6;4;1;1;1;3;3;1;3;4
207;11/2/2024;57;2;8;1;3;3;2023;3;66;4;3;6;0;1;14;5;1;2;2;3;2;1;1;3;2;1;5
208;4/1/2024;37;3;8;4;1;5;2021;11;31;2;7;6;3;4;13;1;2;9;55;2;2;1;2;1;2;3;7
209;1/5/2024;50;1;6;6;2;2;2017;8;50;4;8;3;2;2;14;1;6;8;47;2;2;2;1;2;2;2;5
